position,name,week_start,person_type
8,Реджеп Ердоган,2023-04-24,friend
9,Ігор Конашенков,2023-04-24,russian
10,Єнс Столтенберг,2023-04-24,enemy
1,Володимир Путін,2023-05-01,russian
2,Володимир Зеленський,2023-05-01,enemy
3,Дмитро Пєсков,2023-05-01,russian
4,Євген Пригожин,2023-05-01,russian
5,Джо Байден,2023-05-01,enemy
6,Захар Прилєпін,2023-05-01,russian
7,Володимир Рогов,2023-05-01,russian
8,Марія Захарова,2023-05-01,russian
9,Сергій Аксьонов,2023-05-01,russian
10,Сергій Лавров,2023-05-01,russian
1,Володимир Путін,2023-05-08,russian
2,Володимир Зеленський,2023-05-08,enemy
3,Дмитро Пєсков,2023-05-08,russian
4,Джо Байден,2023-05-08,enemy
5,Євген Пригожин,2023-05-08,russian
6,Реджеп Ердоган,2023-05-08,friend
7,Кемаль Киличдароглу,2023-05-08,enemy
8,Марія Захарова,2023-05-08,russian
9,Дональд Трамп,2023-05-08,friend
10,Захар Прилєпін,2023-05-08,russian
1,Володимир Зеленський,2023-05-15,enemy
2,Володимир Путін,2023-05-15,russian
3,Джо Байден,2023-05-15,enemy
4,Євген Пригожин,2023-05-15,russian
5,Дмитро Пєсков,2023-05-15,russian
6,Реджеп Ердоган,2023-05-15,friend
7,Кемаль Киличдароглу,2023-05-15,enemy
8,Емманюель Макрон,2023-05-15,enemy
9,Денис Пушилін,2023-05-15,russian
10,Марія Захарова,2023-05-15,russian
1,Володимир Путін,2023-05-22,russian
2,Володимир Зеленський,2023-05-22,enemy
3,В'ячеслав Гладков,2023-05-22,russian
4,Джо Байден,2023-05-22,enemy
5,Дмитро Пєсков,2023-05-22,russian
6,Олександр Лукашенко,2023-05-22,friend
7,Реджеп Ердоган,2023-05-22,friend
8,Євген Пригожин,2023-05-22,russian
9,Кемаль Киличдароглу,2023-05-22,enemy
10,Нікол Пашинян,2023-05-22,enemy
1,Володимир Зеленський,2023-05-29,enemy
2,Володимир Путін,2023-05-29,russian
3,В'ячеслав Гладков,2023-05-29,russian
4,Дмитро Пєсков,2023-05-29,russian
5,Джо Байден,2023-05-29,enemy
6,Реджеп Ердоган,2023-05-29,friend
7,Сергій Лавров,2023-05-29,russian
8,Євген Пригожин,2023-05-29,russian
9,Віталій Кличко,2023-05-29,enemy
10,Ігор Конашенков,2023-05-29,russian
1,Володимир Путін,2023-06-05,russian
2,Володимир Зеленський,2023-06-05,enemy
3,Дмитро Пєсков,2023-06-05,russian
4,Джо Байден,2023-06-05,enemy
5,Сергій Шойгу,2023-06-05,russian
6,Володимир Леонтьєв,2023-06-05,russian
7,Володимир Сальдо,2023-06-05,russian
8,В'ячеслав Гладков,2023-06-05,russian
9,Марія Захарова,2023-06-05,russian
10,Ігор Конашенков,2023-06-05,russian
1,Володимир Путін,2023-06-12,russian
2,Володимир Зеленський,2023-06-12,enemy
